Date,Bitcoin,Ethereum,Total
2018-06-25,431947.0,364086.0,372.0
2018-06-26,415627.0,259678.0,507.0
2018-06-27,410763.0,248747.0,510.0
2018-06-28,381017.0,240925.0,432.0
2018-06-29,377532.0,255961.0,344.0
2018-06-30,409032.0,145895.0,401.0
2018-07-01,325781.0,101149.0,385.0
2018-07-02,441685.0,120908.0,485.0
2018-07-03,450637.0,128040.0,470.0
2018-07-04,407558.0,122005.0,558.0
2018-07-05,360862.0,147430.0,712.0
2018-07-06,371023.0,117265.0,678.0
2018-07-07,302084.0,121033.0,434.0
2018-07-08,320919.0,161242.0,478.0
2018-07-09,434896.0,174285.0,628.0
2018-07-10,465784.0,181887.0,1932.0
2018-07-11,429987.0,169939.0,1913.0
2018-07-12,769318.0,146999.0,1797.0
2018-07-13,714557.0,131623.0,1805.0
2018-07-14,641167.0,131279.0,2080.0
2018-07-15,359068.0,128374.0,2418.0
2018-07-16,392812.0,214831.0,2923.0
2018-07-17,491303.0,222226.0,3051.0
2018-07-18,568857.0,285212.0,3195.0
2018-07-19,448567.0,242792.0,2958.0
2018-07-20,434717.0,209967.0,2753.0
2018-07-21,340038.0,174556.0,2391.0
2018-07-22,286676.0,223774.0,2347.0
2018-07-23,516905.0,277634.0,2800.0
2018-07-24,487640.0,295109.0,4029.0
2018-07-25,544073.0,289843.0,3892.0
2018-07-26,428312.0,249174.0,3942.0
2018-07-27,469268.0,278579.0,3664.0
2018-07-28,385622.0,220773.0,3431.0
2018-07-29,304494.0,233688.0,3677.0
2018-07-30,430412.0,246556.0,4251.0
2018-07-31,483307.0,240643.0,4058.0
2018-08-01,486920.0,250941.0,8186.0
2018-08-02,432924.0,244596.0,10100.0
2018-08-03,439317.0,267850.0,11341.0
2018-08-04,349191.0,232258.0,11314.0
2018-08-05,317710.0,209861.0,11537.0
2018-08-06,449928.0,226804.0,12150.0
2018-08-07,509038.0,207883.0,12228.0
2018-08-08,434073.0,179450.0,12423.0
2018-08-09,429968.0,160350.0,12976.0
