time,inflow,outflow,netflow
2019-09-21,92853678.90749453,96787535.9310869,-3933857.023592368
2019-09-22,193542454.23616874,188021142.99414533,5521311.242023408
2019-09-23,389057189.18814903,352750381.2082839,36306807.979865134
2019-09-24,349770775.0737433,312099317.6089749,37671457.46476841
2019-09-25,201934360.24927804,207404732.6773934,-5470372.428115368
2019-09-26,168982843.5749503,184322518.35340428,-15339674.778453976
2019-09-27,119932392.88481836,123275948.99116473,-3343556.106346369
2019-09-28,111320717.67203823,117832563.60875921,-6511845.936720982
2019-09-29,162983235.60087594,200684984.7009617,-37701749.100085765
2019-09-30,131092819.99560472,131392143.59998329,-299323.60437856615
2019-10-01,134678250.85149243,131707159.75913322,2971091.092359215
2019-10-02,121093972.57036199,138301680.24683508,-17207707.676473096
2019-10-03,98385181.67644927,110829023.09301808,-12443841.416568816
2019-10-04,76812004.92431532,91614699.1641414,-14802694.239826083
2019-10-05,97456207.76408504,92305278.26712644,5150929.4969585985
2019-10-06,139486219.72835338,161691450.03671983,-22205230.308366448
2019-10-07,178118294.1400328,180947785.0799186,-2829490.939885795
2019-10-08,226068228.48919952,246081858.37583092,-20013629.8866314
2019-10-09,218374256.4962215,242868398.53348193,-24494142.037260413
2019-10-10,190131793.97651708,185735750.16527534,4396043.811241746
2019-10-11,101636065.98623882,105028868.53646292,-3392802.5502240956
2019-10-12,81291893.63077289,88267741.98327962,-6975848.352506727
2019-10-13,115277097.56323746,136482509.0287077,-21205411.465470254
2019-10-14,131405715.1962607,158835135.01746735,-27429419.821206644
2019-10-15,161091920.90150058,159533797.03717166,1558123.8643289208
2019-10-16,134855898.14467362,141345677.20635903,-6489779.061685413
2019-10-17,125162319.60427764,134876680.59693897,-9714360.992661327
2019-10-18,99245760.84479989,103511807.0913575,-4266046.246557608
2019-10-19,113389873.93504424,109005160.52136278,4384713.413681462
2019-10-20,185896863.72262996,213237576.79732245,-27340713.074692488
2019-10-21,237740476.0201872,276109140.49299437,-38368664.47280717
2019-10-22,347133513.8839923,362415905.7287521,-15282391.844759762
2019-10-23,330618552.6675285,390351800.14646745,-59733247.47893894
2019-10-24,436237836.4679676,597399996.2532953,-161162159.78532767
2019-10-25,459067029.5304234,539129892.2379587,-80062862.70753527
2019-10-26,189634307.9243172,242434919.30029482,-52800611.375977606
2019-10-27,544450394.3582081,556024835.316749,-11574440.958540916
2019-10-28,761577013.2210475,441782534.773221,319794478.4478265
2019-10-29,436612062.4646757,453057280.4124185,-16445217.94774276
2019-10-30,357885600.64746433,402886570.9382292,-45000970.29076487
2019-10-31,287731366.02354914,297693036.514164,-9961670.490614831
2019-11-01,183850656.71388847,219116560.27018023,-35265903.55629176
2019-11-02,139395394.76940575,162876362.89957094,-23480968.13016519
2019-11-03,282719191.49274164,290008841.97945607,-7289650.486714423
2019-11-04,256900138.61060268,269274966.1398119,-12374827.529209197
2019-11-05,219361588.14684132,248762599.32937917,-29401011.182537854
2019-11-06,195183548.17217568,207354296.0432163,-12170747.871040612
2019-11-07,216624377.54229838,225410689.60331124,-8786312.061012864
2019-11-08,131798930.82183737,124697232.74366243,7101698.078174934
2019-11-09,112773541.48236218,119070959.87480235,-6297418.39244017
2019-11-10,207706246.70226517,223050776.59852648,-15344529.896261305
2019-11-11,196472686.972733,196818619.63244915,-345932.6597161591
2019-11-12,214014395.9078281,219039124.94069734,-5024729.03286925
2019-11-13,182721007.05019942,195918761.59387925,-13197754.543679833
2019-11-14,175089352.55403027,179660637.66379246,-4571285.109762192
2019-11-15,96046063.31928691,101343752.28367892,-5297688.964392006
2019-11-16,103547314.18263727,105539932.80543394,-1992618.6227966696
2019-11-17,212831194.2967167,222781734.68946064,-9950540.392743945
2019-11-18,204657231.09607884,192396508.01867306,12260723.07740578
2019-11-19,196438919.8497598,200011201.8911463,-3572282.041386515
2019-11-20,320410648.10540336,298670410.2558527,21740237.849550664
2019-11-21,347303482.3649191,313135033.6401741,34168448.724745035
2019-11-22,146366588.28861707,174336893.26004916,-27970304.97143209
2019-11-23,130444113.59276025,133777198.09606828,-3333084.503308028
2019-11-24,347302589.71912926,319546688.4640164,27755901.255112886
2019-11-25,186693466.58326223,210482072.69379646,-23788606.11053422
2019-11-26,269523111.09280545,289362468.8156857,-19839357.722880244
2019-11-27,222642174.58087632,212603746.97054785,10038427.610328466
2019-11-28,212867953.70852086,200553579.57083488,12314374.137685984
2019-11-29,116993221.62508759,135029372.2711922,-18036150.646104604
2019-11-30,122732723.94313976,163611492.25936267,-40878768.316222906
2019-12-01,185165914.15713316,210140268.17918736,-24974354.022054195
2019-12-02,220183116.15600774,226324293.8389241,-6141177.682916373
2019-12-03,199230390.52125254,228956297.4939335,-29725906.972680956
2019-12-04,195384747.230069,197971155.4987367,-2586408.268667698
2019-12-05,170872887.98522204,172502482.46001938,-1629594.4747973382
2019-12-06,112195099.69832017,109464186.44419743,2730913.254122734
2019-12-07,60512858.216302834,73998379.5962547,-13485521.379951872
2019-12-08,216689292.67007804,406046095.7758133,-189356803.10573524
2019-12-09,417545475.43596023,205615741.6287473,211929733.80721292
2019-12-10,192588810.73245627,226995869.73954806,-34407059.00709179
2019-12-11,172402256.62866884,157476547.50596645,14925709.12270239
2019-12-12,135379314.54084054,148113493.63316435,-12734179.09232381
2019-12-13,105042252.17202288,113836422.25695209,-8794170.084929213
2019-12-14,82059466.74047056,80612383.8829588,1447082.8575117588
2019-12-15,218449857.76417544,220016757.21406105,-1566899.4498856068
2019-12-16,203437084.58363426,184621378.75543186,18815705.828202397
2019-12-17,249884021.12655032,258871035.79796743,-8987014.671417117
2019-12-18,255035659.16930836,245973647.92127073,9062011.248037636
2019-12-19,178341832.7362492,221315581.30793467,-42973748.57168546
2019-12-20,94120592.77500923,95491353.22483759,-1370760.4498283565
2019-12-21,88596262.36575198,97770158.88582015,-9173896.520068169
2019-12-22,251900684.90305278,227731212.6991291,24169472.203923672
2019-12-23,161226433.12114832,164593424.17470473,-3366991.0535564125
2019-12-24,114216410.02480897,122394085.55305138,-8177675.528242409
2019-12-25,143216631.36205617,154809978.51133922,-11593347.149283051
2019-12-26,164864542.76615986,182312789.71377364,-17448246.947613776
2019-12-27,84753027.28274888,86321072.33981204,-1568045.0570631623
2019-12-28,92344358.67479393,92068236.07930844,276122.59548549354
2019-12-29,176548388.4086915,177287415.8931648,-739027.4844733179
2019-12-30,127995466.66087437,132633057.8401517,-4637591.179277331
2019-12-31,64767053.35521459,67955167.02464078,-3188113.6694261953
2020-01-01,119902276.95328751,121544542.51054218,-1642265.557254672
2020-01-02,184164906.73459053,204555309.46968275,-20390402.735092223
2020-01-03,101903244.10291803,160085303.52688345,-58182059.423965424
2020-01-04,92191797.7484952,94682059.28169446,-2490261.5331992507
2020-01-05,186431507.97828948,193947959.66713923,-7516451.688849747
2020-01-06,239157460.22364378,235788924.49338326,3368535.730260521
2020-01-07,261921556.08204114,248630844.92762777,13290711.154413372
2020-01-08,175529016.18224648,200446803.98598135,-24917787.80373487
2020-01-09,209953520.1627576,215242015.82967576,-5288495.6669181585
2020-01-10,118843287.87879698,136327867.3807548,-17484579.50195782
2020-01-11,84154708.41198441,89597728.71593764,-5443020.30395323
2020-01-12,189164517.80957887,193411816.15991896,-4247298.350340098
