date,lower,upper,change,event
2018-03-22,1.5,1.75,0.25,加息
2018-06-14,1.75,2.0,0.25,加息
2018-09-27,2.0,2.25,0.25,加息
2018-12-20,2.25,2.5,0.25,加息
2019-08-01,2.0,2.25,-0.25,降息
2019-09-19,1.75,2.0,-0.25,降息
2019-10-31,1.5,1.75,-0.25,降息
2020-03-04,1.0,1.25,-0.5,降息
2020-03-16,0.0,0.25,-1.0,降息
2022-03-17,0.25,0.5,0.25,加息
2022-05-05,0.75,1.0,0.5,加息
2022-06-16,1.5,1.75,0.75,加息
2022-07-28,2.25,2.5,0.75,加息
2022-09-22,3.0,3.25,0.75,加息
2022-11-03,3.75,4.0,0.75,加息
2022-12-15,4.25,4.5,0.5,加息
2023-02-02,4.5,4.75,0.25,加息
2023-03-23,4.75,5.0,0.25,加息
2023-05-04,5.0,5.25,0.25,加息
2023-07-27,5.25,5.5,0.25,加息
2024-09-19,4.75,5.0,-0.5,降息
2024-11-08,4.5,4.75,-0.25,降息
2024-12-19,4.25,4.5,-0.25,降息
