date,BTC Market Cap,ETH Market Cap,Top 10 (Without BTC & ETH),Others,All
2018-02-01,170304196700.15707,107663538775.87933,124883937445.63896,75925540867.64665,478777213789.322
2018-02-02,152744180864.1639,99423764457.44884,105738995455.2788,65282631176.43346,423189571953.325
2018-02-03,148715185541.37634,89061856063.48083,99799559577.19312,62182088267.6317,399758689449.682
2018-02-04,151507305722.97018,91725607014.4353,104801144311.02692,64372753527.3346,412406810575.76697
2018-02-05,140081544557.2351,81329819333.7154,95790329659.95076,56081535917.39275,373283229468.294
2018-02-06,115444836533.44771,66675677460.41152,77095996173.25948,44258650624.9303,303475160792.049
2018-02-07,129936854004.41661,76574516020.88303,88106005978.06462,53028067039.88674,347645443043.251
2018-02-08,139777138655.54175,88045102689.14058,83508476635.58461,50658196937.9137,361988914918.1806
2018-02-09,138345016554.78464,78759712266.80615,93296018973.68996,53587014854.53724,363987762649.818
2018-02-10,145812043727.55478,84968804616.78447,102981894175.809,60775050436.97275,394537792957.121
2018-02-11,144544944416.7482,83330877020.24867,107395994891.58575,59900703732.76936,395172520061.352
2018-02-12,137716289625.30893,79732678121.41658,101612246563.21068,55857503577.2748,374918717887.211
2018-02-13,150256428069.51227,84185155652.77072,108710116934.98685,61051187927.24816,404202888584.518
2018-02-14,143645913955.80325,81375375877.96892,104240782310.22636,58431554925.66746,387693627069.666
2018-02-15,159007423075.0244,89328231140.60481,118102013560.89348,64985937205.5203,431423604982.043
2018-02-16,170569769073.98798,90637629785.66489,119305037054.09811,67415182721.422,447927618635.173
2018-02-17,171309236631.063,91279135809.19406,121917910933.4866,67845324261.93235,452351607635.676
2018-02-18,185692327611.28845,94190008583.4062,127162763238.93323,72185027185.90514,479230126619.533
2018-02-19,177561296505.31497,89404389580.2483,118690938273.05336,66814042965.48736,452470667324.104
2018-02-20,187364222442.60483,90713108252.71552,121693176142.83116,68903011362.0335,468673518200.185
2018-02-21,194121879194.2264,88256609941.35635,117717106356.56396,65381407941.9673,465477003434.114
2018-02-22,168362084194.4766,79118626282.25874,101187286516.2502,56478017548.20447,405146014541.19
2018-02-23,169362253983.19455,79442544254.30933,101743275378.83357,56654453576.78554,407202527193.123
2018-02-24,173922837770.0662,84567348658.27484,106639772584.12875,60533627701.3302,425663586713.8
2018-02-25,164497574061.05917,81068136131.60957,100484132157.2834,56944058143.05085,402993900493.003
2018-02-26,163790896885.65796,82445384433.1456,102920714850.27414,57019014841.0023,406176011010.08
2018-02-27,174886939893.19846,84519903484.51317,105578189581.84312,59778628267.63925,424763661227.194
2018-02-28,180884108725.43018,85086932065.08655,106246632479.81262,61084648333.92765,433302321604.257
2018-03-01,174778709347.89926,82862945950.985,100864869053.34013,57117239911.8956,415623764264.12
2018-03-02,183463718171.25656,83792455743.35178,103167771960.79436,60639347077.4093,431063292952.812
2018-03-03,187514886761.3877,83297136123.66147,101705445279.54597,61249193484.74185,433766661649.33704
2018-03-04,191899353575.24014,82708301723.55193,101075310473.45184,59419270094.2561,435102235866.5
2018-03-05,190747933122.93732,82676499793.85762,105930390808.29646,58460025359.0106,437814849084.102
2018-03-06,194821583687.4345,82340571913.28821,103592599965.1554,59130681749.8539,439885437315.732
2018-03-07,181342656441.09247,79250313700.00667,97953226151.78586,54801008398.874,413347204691.75903
2018-03-08,169056252057.66943,73790376421.96692,92339168415.98792,49834889047.15973,385020685942.784
2018-03-09,159289105130.23843,68568491974.3163,86114069539.25923,46754837598.70604,360726504242.52
2018-03-10,156862284242.87494,69730146644.19576,87244209886.4105,46325521177.9208,360162161951.402
2018-03-11,150359761907.83084,67198010840.67886,83016921394.1041,44012926230.3422,344587620372.956
2018-03-12,160888688653.47745,69985307146.27713,87947793510.47638,46696549005.33604,365518338315.567
2018-03-13,156177221215.63092,68245214878.500916,84594467417.83545,46380050672.2447,355396954184.212
2018-03-14,155921695042.49033,67211282137.89535,83702426707.81902,45648151980.9223,352483555869.127
2018-03-15,140553335048.27603,59738408621.9634,74621470940.04417,41093501403.3384,316006716013.622
2018-03-16,141449655895.93512,60148621435.96764,74098135013.1642,40878360402.07604,316574772747.143
2018-03-17,144184737078.2775,59712695037.709236,74515266844.43866,40625798305.4406,319038497265.866
2018-03-18,136472702736.85979,55031620530.236534,69300217575.30724,36418097992.55044,297222638834.954
2018-03-19,139102798580.5772,52938616457.57076,69553767110.19997,36745947854.96007,298341130003.30804
2018-03-20,146274523240.43362,54560292401.575806,77168365368.44907,39253764208.9575,317256945219.416
2018-03-21,151135311240.4029,54486305509.98849,78472957937.81137,41757087735.05624,325851662423.259
2018-03-22,151888445786.24927,55179662649.949524,78309598164.99413,42534100643.75507,327911807244.948
2018-03-23,147943048662.1316,52885690223.31916,75421441349.10448,44450384252.32176,320700564486.877
2018-03-24,149451318665.61404,52936241666.49759,74418170979.93767,45313167904.0527,322118899216.102
2018-03-25,146022681302.7956,51114768972.69823,72794334328.14067,45188313476.9435,315120098080.578
2018-03-26,143623891714.18073,51114766847.01147,72587082496.4439,46716839803.9499,314042580861.586
2018-03-27,138684803358.9432,47991343456.18946,67745613571.36054,45832302778.4298,300254063164.923
2018-03-28,132779843611.38556,44211929435.11478,64646749853.41726,42723134498.7664,284361657398.684
2018-03-29,134386559681.90625,43718505250.02615,64461918466.17698,42965338431.64862,285532321829.758
2018-03-30,120777974799.76303,37953505528.35885,56897307452.27448,38060896600.92264,253689684381.319
2018-03-31,116900853303.24556,38946452754.23128,56857561862.44693,36896189774.68323,249601057694.607
2018-04-01,118234055446.5432,39000868214.27854,56901982044.74598,36184581641.03528,250321487346.603
2018-04-02,115896903503.05841,37365640069.82155,54372691801.62721,32583435788.76083,240218671163.26797
2018-04-03,120044225923.52736,37935548084.04267,56267983607.5933,34672235657.95467,248919993273.118
2018-04-04,126568883854.60773,40989129292.88682,61707750575.73305,38183201340.4544,267448965063.682
2018-04-05,116084750821.3726,37503095784.24193,55469550420.9704,34558221548.20707,243615618574.792
2018-04-06,116269847527.26425,37923466118.640205,55585569057.61523,36392901456.43632,246171784159.956
2018-04-07,112436767361.37248,36495759521.398056,52665761870.69161,34390003246.49484,235988291999.957
2018-04-08,116789559212.79994,37838661360.00252,54231324271.74814,35794645043.8674,244654189888.418
2018-04-09,118505840498.72884,39182417250.92415,55483457543.82943,36044826331.03658,249216541624.519
2018-04-10,115017783885.65182,39367328706.210175,54903022072.59274,36213301447.68926,245501436112.144
2018-04-11,115885988821.25359,40749602575.92843,55304806583.60625,37413991219.73173,249354389200.52
2018-04-12,117533696704.9788,42209337332.354004,60735607121.92736,40409708190.39484,260888349349.65503
2018-04-13,133015394395.9933,48265439663.55072,68875879658.43272,45036911091.14525,295193624809.122
2018-04-14,133189892501.28044,48313044128.328636,68594468320.23858,44448519626.09234,294545924575.94
2018-04-15,134086501771.11679,48928578121.79471,68736722652.39355,44331399864.65995,296083202409.965
2018-04-16,140220533919.44476,51944970387.794846,73911400779.63715,48097771911.31923,314174676998.196
2018-04-17,136379313438.7644,50134949937.02363,73297368100.52628,46985671607.2127,306797303083.527
2018-04-18,133722872890.26543,49290625426.76034,73147566336.6273,46421742177.53492,302582806831.188
2018-04-19,137539507140.1945,51170694522.39032,80324345386.264,50879916210.51318,319914463259.362
2018-04-20,140616565985.04083,56030501148.69197,86799984147.0067,54674163027.9095,338121214308.649
2018-04-21,144401932888.96182,58403874540.99289,98276979999.3808,56049610230.6635,357132397659.999
2018-04-22,150858701627.6664,59405441433.091866,95707907789.89792,55882605630.2888,361854656480.945
2018-04-23,149017082314.25253,61094825885.43238,96297016068.74734,56203017600.46475,362611941868.897
2018-04-24,150943914745.9957,63004894796.41469,101726621167.22005,59781771071.79957,375457201781.43
2018-04-25,165155791737.985,69817174451.75433,109982738758.01727,65903803334.2244,410859508281.981
2018-04-26,150020058558.80304,60788471582.80268,95630927038.99487,56901756577.7234,363341213758.324
2018-04-27,156779014055.27072,65093958669.996185,104146728540.46436,62352421690.77174,388372122956.503
2018-04-28,152009053536.4553,63614677083.81106,101321957823.23108,60742431853.62256,377688120297.12
2018-04-29,157282709009.46033,66660769651.39336,109279886086.5726,64176493093.4617,397399857840.88794
2018-04-30,158592809944.5081,67420561666.31582,114244266359.29584,67039566102.41725,407297204072.537
2018-05-01,156443377473.375,65710538602.21053,106632301488.46156,65026476464.3959,393812694028.443
2018-05-02,153504488648.5945,65971279396.12401,108673194149.90576,64743583227.11773,392892545421.742
2018-05-03,155192629946.18726,67108704081.6629,112399827766.51112,66973093837.62073,401674255631.982
2018-05-04,162498830620.22913,77526578541.87308,115253560482.0616,59266515273.2732,414545484917.437
2018-05-05,163935762593.6642,77194381804.21214,114356307682.58636,69361986124.8363,424848438205.299
2018-05-06,166195961946.18,80104681672.56717,119963675339.6796,71832091221.62125,438096410180.048
2018-05-07,163109111220.656,78019321356.67586,117279567910.65614,68804476034.316,427212476522.30396
2018-05-08,158435513589.56033,74353698902.32837,112875403278.0407,65260839309.4556,410925455079.385
2018-05-09,155749835750.4752,73923190963.45912,118042817438.57578,68648122092.6299,416363966245.14
2018-05-10,157460887034.23203,73870430059.20319,109903981537.23238,66291108287.3144,407526406917.982
2018-05-11,152728483795.6562,71279821648.68193,103570610051.79929,63761080735.4556,391339996231.593
2018-05-12,143131877388.73486,67108755487.4065,92791308655.77695,56710016642.6987,359741958174.61707
2018-05-13,144426929746.49615,67905759626.548164,96373513071.02904,57241186986.75064,365947389430.824
2018-05-14,147906738510.20526,72264507767.86824,100574510204.29596,60861493515.64255,381607249998.01196
2018-05-15,148142733211.5191,72371889345.97685,98184303846.212,62209959332.33105,380908885736.03906
2018-05-16,144348790079.53476,69935482264.3191,92489128148.91695,59947032065.4342,366720432558.205
2018-05-17,142149224754.09787,69879914021.89139,91572721952.68584,57787742061.6949,361389602790.37
2018-05-18,137271416445.43767,66230317444.47082,86267720916.55551,54921116478.492,344690571284.956
2018-05-19,139787112156.34103,68292780311.34642,87686106364.38486,56580154183.6917,352346153015.764
2018-05-20,139424471286.71832,68270520548.85238,86799475687.713,55934042989.0623,350428510512.346
2018-05-21,143916527618.282,70073661062.42535,92000191937.85963,57691817963.317,363682198581.88403
2018-05-22,142427831413.29367,68604235449.74915,89391894836.76358,56855554352.7536,357279516052.56
2018-05-23,136550347058.65228,63856048464.81863,83490764026.0651,52260971006.365,336158130555.901
2018-05-24,128842835523.63457,57906139337.23845,76156684805.39511,48644539201.76687,311550198868.035
2018-05-25,128977752305.11423,59572815257.15423,81052865049.2836,50275717344.68894,319879149956.241
2018-05-26,127435061535.96555,58033414970.12175,78328715988.70622,48475311555.88548,312272504050.679
2018-05-27,125008468874.28679,57866488201.56909,78032876056.08897,46715910746.99415,307623743878.939
2018-05-28,124985768473.80345,56426783298.552086,77208760133.0694,43880599183.77307,302501911089.198
2018-05-29,121322210033.3444,51022311776.744835,70334115802.43155,42530655123.26722,285209292735.788
2018-05-30,127138205821.77669,56032720818.86429,77222274563.24117,46760523101.23886,307153724305.121
2018-05-31,125953862789.73985,55406697681.99651,76949325160.67432,46091459220.89032,304401344853.301
2018-06-01,127322669333.3591,57052511798.36029,78750945113.59761,47568984463.116,310695110708.433
2018-06-02,127797556817.80017,57274516594.26361,79635424300.25717,47756433739.40905,312463931451.73
2018-06-03,129185013358.09856,58214660996.41215,84281139291.94522,49029176930.14507,320709990576.601
2018-06-04,130436135448.66774,60839012156.67801,87059912236.51039,49899633361.33286,328234693203.189
2018-06-05,127444424300.66489,58582699275.82673,83318492794.30196,51861162297.30042,321206778668.094
2018-06-06,129259980382.17676,60003382388.410774,85581109874.99138,51193447669.11408,326037920314.693
2018-06-07,129898428226.34839,59769818240.26592,84671687489.52689,48965244995.6768,323305178951.818
2018-06-08,130052073722.89095,59473431631.17932,85026468812.01134,48417217953.3344,322969192119.416
2018-06-09,129167113170.94856,59023188216.61767,83720619767.43243,44845890543.13034,316756811698.129
2018-06-10,126683533782.87282,58097979895.17439,81764621710.96982,43357001338.71197,309903136727.729
2018-06-11,115631864817.82808,52297773130.593605,71393478889.44585,40817674811.50948,280140791649.377
2018-06-12,117568067796.62566,52922017100.80877,73302464193.81499,41408128849.97858,285200677941.22797
2018-06-13,112482862604.77522,49526210494.67609,67011583229.72124,38733829544.73445,267754485873.90698
2018-06-14,108260201574.01901,47513487722.27301,64252539605.26428,36866600329.3957,256892829230.952
2018-06-15,113582443265.84215,51705041671.85295,68654078241.36496,39431157775.91594,273372720954.976
2018-06-16,109527730085.0741,48591417578.37274,64912748612.94486,37210860060.8463,260242756337.23798
2018-06-17,110772203147.8282,49365820389.2502,65039786437.50217,37060427743.56243,262238237718.143
2018-06-18,109759607021.02477,49208886719.57955,64024256240.4768,36614877516.25988,259607627497.341
2018-06-19,114196505243.23883,51325180407.15406,66850044621.25793,38289336577.19018,270661066848.841
2018-06-20,114742187734.30663,53296770078.92655,68103924525.12485,38685928088.81197,274828810427.17
2018-06-21,114852494305.80463,53083203703.900185,66848097550.93559,39700304709.6656,274484100270.30597
2018-06-22,114463912846.04523,52182383816.74685,66106293973.98075,39102771190.26317,271855361827.036
2018-06-23,104172397755.09848,46506729655.2268,58527842545.04246,34638394328.36426,243845364283.732
2018-06-24,105568325740.5693,47422371814.92663,58613070523.73521,34157381386.17186,245761149465.403
2018-06-25,105415073017.07509,45701228403.58992,56685347153.46075,33130744511.12024,240932393085.246
2018-06-26,106832748619.81493,46032293630.19799,57402928360.24338,33869805571.0947,244137776181.35098
2018-06-27,103900589095.60583,43200150825.554535,53520687644.24137,31705102414.61227,232326529980.014
2018-06-28,104717160923.03616,43938995892.49492,55319146904.192,33228971064.60392,237204274784.327
2018-06-29,100670773791.78275,42240235077.69152,52203843585.62073,31116765213.509,226231617668.604
2018-06-30,105857391286.9164,43417851340.14835,54196014708.33787,32941454294.52438,236412711629.927
2018-07-01,109023438456.36497,45125931776.53015,56330104067.41646,34980264003.20742,245459738303.519
2018-07-02,108116702994.83368,44959418542.5589,56090427837.69287,31867737485.05355,241034286860.139
2018-07-03,112969688594.56374,47442809332.14308,59926741196.55356,38343926071.05962,258683165194.32
2018-07-04,111301577387.40128,46185301814.019936,59026967838.08016,37524006914.33163,254037853953.833
2018-07-05,112427869579.76012,46548745985.99023,59663022416.37123,39631449274.67442,258271087256.79602
2018-07-06,112011029362.86702,46925838686.869354,58256067738.48613,38760586886.8415,255953522675.06403
2018-07-07,113147533991.98392,47006819801.91246,57698881691.34065,38581869717.36497,256435105202.60196
2018-07-08,115842716194.10664,48417457589.09996,59091132683.04816,38957586803.54224,262308893269.797
2018-07-09,114841688927.81284,48656609005.5521,58093343752.61141,36347189713.98265,257938831399.95898
2018-07-10,113955190214.94202,47248080178.500404,56269333285.04473,37520775969.77385,254993379648.261
2018-07-11,108055463516.65717,43440645610.1465,52892289874.77023,34990512687.7371,239378911689.31097
