,date,加密货币总市值,加密货币24h总成交量,山寨币总市值,山寨币24h总成交量,BTC总市值,BTC 24h总交易量
0,2018-02-01,454481379328.0,28487213056.0,339205532229.6566,12256873375.384895,115275847098.34338,16230339680.615105
1,2018-02-02,426127949824.0,39442333696.0,297003441911.79065,14345571654.649662,129124507912.20935,25096762041.350338
2,2018-02-03,447205244928.0,23294361600.0,275879103971.0459,20764981916.532715,171326140956.9541,2529379683.467285
3,2018-02-04,395170643968.0,21671804928.0,292444296626.1361,11409983633.551048,102726347341.86389,10261821294.448952
4,2018-02-05,330554540032.0,26410778624.0,258085320445.1903,10500093719.871029,72469219586.8097,15910684904.128971
5,2018-02-06,371073253376.0,40717025280.0,207030380081.8742,12678926263.553442,164042873294.1258,28038099016.446556
6,2018-02-07,358649856000.0,25514647552.0,240100295549.5655,20906407721.89095,118549560450.43451,4608239830.109051
7,2018-02-08,394758422528.0,25022167040.0,229430437745.24905,12542070735.972237,165327984782.75095,12480096304.027763
8,2018-02-09,426949541888.0,19837898752.0,251940942072.6668,11170521152.157446,175008599815.3332,8667377599.842554
9,2018-02-10,422247038976.0,26283563008.0,274713343336.89297,10371474278.12888,147533695639.10703,15912088729.87112
10,2018-02-11,400146137088.0,19457486848.0,275311174817.41174,14485655987.857817,124834962270.58826,4971830860.142183
11,2018-02-12,431751888896.0,18241718272.0,262213756513.86453,10802878296.322315,169538132382.13547,7438839975.677685
12,2018-02-13,416320323584.0,16896848896.0,281137264827.8422,9850932055.684696,135183058756.15778,7045916840.315304
13,2018-02-14,460329975808.0,24380936192.0,269253179707.16345,9023713040.774813,191076796100.83655,15357223151.225187
14,2018-02-15,478170120192.0,25032452096.0,299462504313.0612,13395994248.81781,178707615878.93878,11636457847.18219
15,2018-02-16,485459034112.0,20050501632.0,305808085761.76874,12885642143.818789,179650948350.23126,7164859488.181211
16,2018-02-17,513788051456.0,22385408000.0,310027219819.1366,10215373040.372087,203760831636.8634,12170034959.627913
17,2018-02-18,481324531712.0,22438148096.0,324350387196.8254,10727198229.238443,156974144515.17462,11710949866.761557
18,2018-02-19,502924541952.0,19399817216.0,302144049360.75964,11102298354.618046,200780492591.24036,8297518861.381954
19,2018-02-20,486329253888.0,25115938816.0,310070768110.9678,9426381662.39341,176258485777.03223,15689557153.60659
20,2018-02-21,458321625088.0,23367251968.0,298523152312.7854,11727327126.757025,159798472775.2146,11639924841.242975
21,2018-02-22,428603572224.0,20116506624.0,263718250810.01645,10064922088.058208,164885321413.98355,10051584535.941792
22,2018-02-23,450050490368.0,20573513728.0,262526411310.12225,10158527932.630352,187524079057.87775,10414985795.369648
23,2018-02-24,431220555776.0,18186975232.0,276874188577.2283,10832976915.665838,154346367198.77173,7353998316.334162
24,2018-02-25,430344110080.0,15180637184.0,262666113826.46268,9133879749.63906,167677996253.53732,6046757434.360941
25,2018-02-26,451307765760.0,18723049472.0,267098701922.67383,7649571096.193891,184209063837.32617,11073478375.80611
26,2018-02-27,457545515008.0,17899302912.0,274408594740.1639,9304230281.422567,183136920267.8361,8595072630.577433
27,2018-02-28,440083808256.0,17487165440.0,276561735668.3155,9070536571.29401,163522072587.6845,8416628868.70599
28,2018-03-01,459194007552.0,18292068352.0,263739687667.4513,8588734107.65283,195454319884.5487,9703334244.34717
29,2018-03-02,457041444864.0,18301616128.0,271721337537.08304,8877907712.254927,185320107326.91696,9423708415.745073
30,2018-03-03,463317237760.0,16394948608.0,270069743070.0632,8848679018.485115,193247494689.9368,7546269589.514885
31,2018-03-04,470507716608.0,15784275968.0,267301072458.85336,8127926995.306951,203206644149.14664,7656348972.693049
32,2018-03-05,463779102720.0,17893974016.0,271365528543.33337,7944494151.557701,192413574176.66663,9949479864.442299
33,2018-03-06,438422306816.0,17150973952.0,268579464409.64343,9413146288.756756,169842842406.35657,7737827663.243244
34,2018-03-07,403310084096.0,21073948672.0,254427368168.43097,8877223138.646564,148882715927.56903,12196725533.353436
35,2018-03-08,378979811328.0,17731414016.0,271465850339.86548,10559377123.032864,107513960988.13452,7172036892.967136
