,time,net_usdc(USD),net_dai(USD),net_fdusd(USD),net_tusd(USD),Total Net
0,2018-10-05,3247537.7358936844,,,,3247537.7358936844
1,2018-10-06,-25037.236528149057,,,,-25037.236528149057
2,2018-10-07,-4162.891904932597,,,,-4162.891904932597
3,2018-10-08,4632.953199903788,,,,4632.953199903788
4,2018-10-09,403029.8940276837,,,,403029.8940276837
5,2018-10-10,-4588.931919637485,,,,-4588.931919637485
6,2018-10-11,356244.52191643644,,,,356244.52191643644
7,2018-10-12,-33608.66432966734,,,,-33608.66432966734
8,2018-10-13,-7025.546579265712,,,,-7025.546579265712
9,2018-10-14,-74633.11776739324,,,,-74633.11776739324
10,2018-10-15,20542477.2919747,,,,20542477.2919747
11,2018-10-16,-172629.22625577595,,,,-172629.22625577595
12,2018-10-17,-83213.21059742989,,,,-83213.21059742989
13,2018-10-18,-207880.71545958,,,,-207880.71545958
14,2018-10-19,-537012.9108344361,,,,-537012.9108344361
15,2018-10-20,-545963.4392353654,,,,-545963.4392353654
16,2018-10-21,-44147.654487553074,,,,-44147.654487553074
17,2018-10-22,10493570.754447363,,,,10493570.754447363
18,2018-10-23,1213198.8428981453,,,,1213198.8428981453
19,2018-10-24,14056942.314490214,,,,14056942.314490214
20,2018-10-25,-551435.4854719354,,,,-551435.4854719354
21,2018-10-26,-593229.6001013828,,,,-593229.6001013828
22,2018-10-27,-566574.1419886807,,,,-566574.1419886807
23,2018-10-28,5132.559529597544,,,,5132.559529597544
24,2018-10-29,174909.07954477472,,,,174909.07954477472
25,2018-10-30,-4095825.358804422,,,,-4095825.358804422
26,2018-10-31,-221159.41218559525,,,,-221159.41218559525
27,2018-11-01,-115788.67858084687,,,,-115788.67858084687
28,2018-11-02,-4251168.7881486,,,,-4251168.7881486
29,2018-11-03,-142371.4623367403,,,,-142371.4623367403
30,2018-11-04,69848.3846557565,,,,69848.3846557565
31,2018-11-05,1976557.2563156625,,,,1976557.2563156625
32,2018-11-06,-362667.4167107254,,,,-362667.4167107254
33,2018-11-07,-116639.75526680064,,,,-116639.75526680064
34,2018-11-08,-3309264.5898653506,,,,-3309264.5898653506
35,2018-11-09,-224756.1019996298,,,,-224756.1019996298
36,2018-11-10,-77385.08615682425,,,,-77385.08615682425
37,2018-11-11,292271.0104465004,,,,292271.0104465004
38,2018-11-12,481357.73798698606,,,,481357.73798698606
39,2018-11-13,5322694.310126126,,,,5322694.310126126
40,2018-11-14,4766028.574482159,,,,4766028.574482159
41,2018-11-15,1292571.9974866863,,,,1292571.9974866863
42,2018-11-16,-5974027.85032292,,,,-5974027.85032292
43,2018-11-17,-819717.5921447161,,,,-819717.5921447161
44,2018-11-18,-45197.235580483684,,,,-45197.235580483684
45,2018-11-19,-1789424.7589190109,,,,-1789424.7589190109
46,2018-11-20,10101500.733643524,,,,10101500.733643524
47,2018-11-21,7039081.450085124,,,,7039081.450085124
48,2018-11-22,-5763768.195540594,,,,-5763768.195540594
49,2018-11-23,5729277.3118815515,,,,5729277.3118815515
50,2018-11-24,985108.7045424846,,,,985108.7045424846
51,2018-11-25,-458738.1597991055,,,,-458738.1597991055
52,2018-11-26,1231903.89177276,,,,1231903.89177276
53,2018-11-27,4256181.389671174,,,,4256181.389671174
54,2018-11-28,2258069.4002840165,,,,2258069.4002840165
55,2018-11-29,-5231612.408872031,,,,-5231612.408872031
56,2018-11-30,-397451.13217984186,,,,-397451.13217984186
57,2018-12-01,-503892.2655493119,,,,-503892.2655493119
58,2018-12-02,1193481.679979931,,,,1193481.679979931
59,2018-12-03,-1681229.9325032344,,,,-1681229.9325032344
60,2018-12-04,3149830.2400381425,,,,3149830.2400381425
61,2018-12-05,320084.2639557328,,,,320084.2639557328
62,2018-12-06,-371574.62018887233,,,,-371574.62018887233
63,2018-12-07,2077776.5008984674,,,,2077776.5008984674
64,2018-12-08,1201615.5260533243,,,,1201615.5260533243
65,2018-12-09,687268.5831866926,,,,687268.5831866926
66,2018-12-10,4911742.017543662,,,,4911742.017543662
67,2018-12-11,1417723.138956244,,,,1417723.138956244
68,2018-12-12,4286458.625813486,,,,4286458.625813486
69,2018-12-13,-1727712.8593706675,,,,-1727712.8593706675
70,2018-12-14,-702162.6746811308,,,,-702162.6746811308
71,2018-12-15,-4095321.5358265536,,,,-4095321.5358265536
72,2018-12-16,-858319.1332808235,,,,-858319.1332808235
73,2018-12-17,844825.0291729085,,,,844825.0291729085
74,2018-12-18,1383854.2712064162,,,,1383854.2712064162
75,2018-12-19,1596053.018796593,,,,1596053.018796593
76,2018-12-20,-4006025.076752048,,,,-4006025.076752048
77,2018-12-21,-4572409.757081535,,,,-4572409.757081535
78,2018-12-22,410007.1322010886,,,,410007.1322010886
79,2018-12-23,2779137.781318389,,,,2779137.781318389
80,2018-12-24,-3477962.865197108,,,,-3477962.865197108
81,2018-12-25,-994836.2779605372,,,,-994836.2779605372
82,2018-12-26,1664621.7585451882,,,,1664621.7585451882
83,2018-12-27,-2372322.2643270865,,,,-2372322.2643270865
84,2018-12-28,-913986.3685064316,,,,-913986.3685064316
85,2018-12-29,751274.2427406693,,,,751274.2427406693
86,2018-12-30,1825696.682456419,,,,1825696.682456419
87,2018-12-31,-4368532.427812905,,,,-4368532.427812905
88,2019-01-01,4888609.6319981925,,,,4888609.6319981925
89,2019-01-02,5090274.230897769,,,,5090274.230897769
90,2019-01-03,-3242314.835779939,,,,-3242314.835779939
91,2019-01-04,381644.3970494028,,,-24135.791036127135,357508.6060132757
92,2019-01-05,-3230279.441474133,,,-1882515.0137738122,-5112794.455247945
93,2019-01-06,3451564.8386223707,,,-264074.1006824621,3187490.7379399086
94,2019-01-07,-1003930.5031754524,,,-2539400.0157176154,-3543330.5188930677
95,2019-01-08,312956.9523588419,,,-1037822.1623727377,-724865.2100138958
96,2019-01-09,6982504.141775303,,,1370309.7425469868,8352813.884322289
97,2019-01-10,9594124.026774783,,,1222673.3201832958,10816797.346958078
98,2019-01-11,-3474613.9419527873,,,-908031.2253404742,-4382645.167293262
99,2019-01-12,-7624823.548965212,,,1250548.7702697776,-6374274.778695434
