Time,Symbol,Funding Rate
2025-02-25 00:00:00,BTCUSDT,0.0001
2025-02-24 16:00:00,BTCUSDT,0.0001
2025-02-24 08:00:00,BTCUSDT,0.0001
2025-02-24 00:00:00,BTCUSDT,0.0001
2025-02-23 16:00:00,BTCUSDT,0.0001
2025-02-23 08:00:00,BTCUSDT,0.0001
2025-02-23 00:00:00,BTCUSDT,0.0001
2025-02-22 16:00:00,BTCUSDT,0.0001
2025-02-22 08:00:00,BTCUSDT,0.00025044
2025-02-22 00:00:00,BTCUSDT,0.0005139
2025-02-21 16:00:00,BTCUSDT,0.00003323
2025-02-21 08:00:00,BTCUSDT,0.00008046
2025-02-21 00:00:00,BTCUSDT,0.00001268
2025-02-20 16:00:00,BTCUSDT,0.0000778
2025-02-20 08:00:00,BTCUSDT,0.0001
2025-02-20 00:00:00,BTCUSDT,0.0001
2025-02-19 16:00:00,BTCUSDT,0.0001
2025-02-19 08:00:00,BTCUSDT,0.0001
2025-02-19 00:00:00,BTCUSDT,0.00009711
2025-02-18 16:00:00,BTCUSDT,0.00009433
2025-02-18 08:00:00,BTCUSDT,0.00001517
2025-02-18 00:00:00,BTCUSDT,0.00002818
2025-02-17 16:00:00,BTCUSDT,0.00000041
2025-02-17 08:00:00,BTCUSDT,0.0000311
2025-02-17 00:00:00,BTCUSDT,0.00000939
2025-02-16 16:00:00,BTCUSDT,0.0000033
2025-02-16 08:00:00,BTCUSDT,-0.00001542
2025-02-16 00:00:00,BTCUSDT,0.00005342
2025-02-15 16:00:00,BTCUSDT,0.00005122
2025-02-15 08:00:00,BTCUSDT,0.00000062
2025-02-15 00:00:00,BTCUSDT,0.00003027
2025-02-14 16:00:00,BTCUSDT,0.0001
2025-02-14 08:00:00,BTCUSDT,0.0001
2025-02-14 00:00:00,BTCUSDT,0.00008865
2025-02-13 16:00:00,BTCUSDT,0.00004455
2025-02-13 08:00:00,BTCUSDT,0.00006447
2025-02-13 00:00:00,BTCUSDT,0.00009802
2025-02-12 16:00:00,BTCUSDT,0.00000523
2025-02-12 08:00:00,BTCUSDT,0.00003227
2025-02-12 00:00:00,BTCUSDT,0.00001737
2025-02-11 16:00:00,BTCUSDT,-0.00001778
2025-02-11 08:00:00,BTCUSDT,0.00005578
2025-02-11 00:00:00,BTCUSDT,0.00007625
2025-02-10 16:00:00,BTCUSDT,0.00009182
2025-02-10 08:00:00,BTCUSDT,0.0000857
2025-02-10 00:00:00,BTCUSDT,0.00002217
2025-02-09 16:00:00,BTCUSDT,0.00003139
2025-02-09 08:00:00,BTCUSDT,0.00000927
2025-02-09 00:00:00,BTCUSDT,0.00002052
2025-02-08 16:00:00,BTCUSDT,0.00000656
2025-02-08 08:00:00,BTCUSDT,0.00001686
2025-02-08 00:00:00,BTCUSDT,-0.00005658
2025-02-07 16:00:00,BTCUSDT,0.00008283
2025-02-07 08:00:00,BTCUSDT,0.00003448
