"Date","BTC Market Cap","ETH Market Cap","Top 10 (Without BTC & ETH)","Others"
"2013-12-26","8944973877",,"190267893","0"
"2013-12-27","8944473292",,"206730023","0"
"2013-12-28","9002769255",,"213705145","0"
"2013-12-29","8855251580",,"213132093","0"
"2013-12-30","9270681761",,"216307720","0"
"2013-12-31","9205343763",,"214508042","0"
"2014-01-01","9358693020",,"211420757","0"
"2014-01-02","9417082760",,"226695350","0"
"2014-01-03","10062417390",,"216510985","0"
"2014-01-04","10350952914",,"219582634","0"
"2014-01-05","11207538944",,"194819468","0"
"2014-01-06","11414401972",,"199436714","0"
"2014-01-07","10107681750",,"185860167","0"
"2014-01-08","10256342208",,"181102981","0"
"2014-01-09","10443906952",,"176759361","0"
"2014-01-10","10570439442",,"176386448","0"
"2014-01-11","11094594497",,"0","187173572"
"2014-01-12","10630187711",,"0","173546208"
"2014-01-13","10309307616",,"0","169301094"
"2014-01-14","10276902394",,"0","165848714"
"2014-01-15","10555404678",,"173986356","0"
"2014-01-16","10283900055",,"164694012","0"
"2014-01-17","9979241690",,"0","159779686"
"2014-01-18","10315662000",,"165467201","0"
"2014-01-19","10293335273",,"166862694","0"
"2014-01-20","10677333920",,"162344736","0"
"2014-01-21","10686776168",,"155769109","0"
"2014-01-22","10635024832",,"156143586","0"
"2014-01-23","10417265166",,"149447563","0"
"2014-01-24","9945387408",,"142953242","0"
"2014-01-25","9900713656",,"145042182","0"
"2014-01-26","10508799200",,"149936181","0"
"2014-01-27","10984370725",,"159585021","0"
"2014-01-28","9573533550",,"163813717","0"
"2014-01-29","10067676250",,"159683526","0"
"2014-01-30","10074827642",,"159019006","0"
"2014-01-31","10087796517",,"158993206","0"
"2014-02-01","10271715012",,"161307302","0"
"2014-02-02","10323662258",,"163225030","0"
"2014-02-03","10043290888",,"167803968","0"
"2014-02-04","10281144248",,"168001761","0"
"2014-02-05","10267242207",,"162739539","0"
"2014-02-06","9951171213",,"156568879","641003"
"2014-02-07","8918941470",,"143439515","562453"
"2014-02-08","8678266711",,"144233812","476465"
"2014-02-09","8315656524",,"0","135908356"
"2014-02-10","8535556672",,"138684674","356463"
"2014-02-11","8638931672",,"142648344","317049"
"2014-02-12","8115968452",,"134838272","335819"
"2014-02-13","8077474557",,"131333512","353574"
"2014-02-14","7729134561",,"123261541","1057017"
"2014-02-15","7986582360",,"124406862","1404320"
"2014-02-16","7614456286",,"126562254","330407"
"2014-02-17","8005429360",,"121254112","0"
"2014-02-18","7758139753",,"123565848","0"
"2014-02-19","7711283048",,"122005695","0"
"2014-02-20","7377405511",,"123696402","0"
"2014-02-21","7241455462",,"117650184","0"
"2014-02-22","7098404288",,"118883822","0"
"2014-02-23","7746491782",,"126099458","0"
"2014-02-24","7120130927",,"116986121","0"
"2014-02-25","6088839080",,"88675197","2001131"
"2014-02-26","7061198906",,"107357608","2220185"
"2014-02-27","7300959497",,"110416752","347126"
"2014-02-28","7065922360",,"112389479","0"
"2014-03-01","6979712746",,"110270229","0"
"2014-03-02","6997269851",,"110548852","242739"
"2014-03-03","7304054418",,"112376716","0"
"2014-03-04","8418886875",,"125994731","0"
"2014-03-05","8212712376",,"127243054","189840"
"2014-03-06","8169324004",,"128737146","0"
"2014-03-07","7711032022",,"122800035","0"
"2014-03-08","7623170337",,"0","118474334"
"2014-03-09","7947989895",,"113559540","3158554"
"2014-03-10","7763134192",,"0","116134940"
"2014-03-11","7803983008",,"115277130","3444025"
"2014-03-12","7979719372",,"112339949","3367611"
"2014-03-13","7994472985",,"112584198","2976105"
"2014-03-14","7879611671",,"0","114842469"
"2014-03-15","7987471922",,"112318059","3342373"
"2014-03-16","7883319532",,"112323532","3237716"
"2014-03-17","7812934238",,"109878096","3171198"
"2014-03-18","7676276184",,"107060528","3057887"
"2014-03-19","7653772688",,"109513000","2779390"
"2014-03-20","7423640092",,"107093363","2756448"
"2014-03-21","7303695511",,"104644800","2779345"
"2014-03-22","7041711523",,"101409757","2647584"
"2014-03-23","7127031703",,"102370812","0"
"2014-03-24","7175538679",,"100852057","0"
"2014-03-25","7317439677",,"99383360","3338007"
"2014-03-26","7343002343",,"99533464","3215928"
"2014-03-27","7133333206",,"86110929","2908430"
"2014-03-28","6331497248",,"83909411","2682926"
"2014-03-29","6317113200",,"82122242","2712446"
"2014-03-30","5912148997",,"77984623","2701624"
"2014-03-31","5756309240",,"70810068","2597922"
"2014-04-01","6023351178",,"68458134","2815062"
